Channel,Title,Rating,Review
Aajtak,Highlight more negative type of news,1,In the morning time they show a continuous series of short news stories. 70% of them are all crimes of higher severity. Obviously morning time pushing all negativity is not at all good idea. I propose they cover negative news later some time.
Aajtak,Boycott aaj tak,1,Lot of fake /incorrect news has been aired by this channel. This is not a new channel rather an agent of some political party.  Boycott this news channel.
Aajtak,WORST NEWS CHANNEL AAJ TAK INDIA TODAY,1,WORST AND NON-RELIABLE NEWS CHANNEL OF INDIA. 99% NEWS ARE FABRICATED. THIS CHANNEL BROADCASTED FAKE NEWS.
Aajtak,Good app for live news,4,"Aajtak is a Indian  Hindi news channel. It is one of  the many channels by  indiatoday group.It is very prominent news channel of india.It is also number one news channel of the country receiving many awards & also according to surveys it is most trusted channel by indians.Also the channel is good in reporting  & providing latest  news fastly. The channel has also android app which also has good number of downloads on playstore. I also watch aajtak for news reqiurement .Because in my opinion its a good channel .Here I will share my experience of watching this channel & will also tell its pros & cons- Pros- It gives latest news fastly so you can remain updated with current affairs. Channel android app is good it shows live tv so you can watch live tv channel right on your phone anywhere no need to switch tv on The channel  app also provide other features like  news videos , offline reading , sharing of news, view photos , bookmark news, personalised notification. Also the channel entertains by its short ironical so sorry episodes which I like very much Cons - No audio only news , you have to watch videos for news App is little bit buggy as it stops sometimes automatically The channel shows less news more advertisement Also in app live channel is not available in HD quality No popup player available for live tv channel in app so that one can do other work also while listening news Overall its a very good channel for news to follow & app is also ok. So I will give 4/5 stars from my side to channel app."
Aajtak,Very good application for watching news,5,AajTak is an excellent android mobile application for watching news. I always use to watch news over here. Here you get most relevant news about any matter very instantly as it happens. In this application you can go through all the programs and actions of AajTak whenever you want. On watching news over here I feel like watching actual TV. The video  quality displayed by this application is also of very good quality.
Aajtak,Deliver the goods !,4,Hello guys! We have lot of news channels in our set top box but aaj tak is one of best news channel . aaj tak  is always gave real news . aaj tak is always deliver fast news update than other news channels . They are first investigate what is the real story about incident and than they are broadcast the news. They always update you. They are always beware you from fake news and update you with the real one. Their express news is very useful for us.
Aajtak,"Show news guys, not drama!",1,"Media is one of the strongest medium. They are very powerful and one of their prime goal should be to serve news. Aaj Tak is one of the most dramatized news channel you could ever find. They have went from showing news to manipulating and adding MASALA to sell their news. I mean look at the news titles they make these days. It feels really annoying to watch Aaj tak or let alone sitting with someone watching aaj tak. If the don't have news they make up some news. I think they should learn from the news anchors and reporters of channels like Al Jazeera, CNN etc to how to show news. Wake Up, the coun"
Aajtak,"Creating a ""DRAMA"" in every story!",1,"We live in a world where what we see with our eyes on the television is the truth, without checking facts. ""Jo dikhta hai, wo bikta hai"" Basically, the reporters need to sensationalise every story to prove their point. This news channel tops the list of all that drama they try to sell us. They literally create a story of ""how things happened"" to sometimes create fictional characters to justify the truth. I fail to understand why do we need to sensationalise everything. These are ""real"" happenings, not some story from a chitrakatha! To cover the story of a murder, they initially sensationalise it, then further interview the maximum number of people around the murder house, including the innocent dog that was on the street the night of murder! Gosh! The anchors of the afternoon shows literally rake up old flames of bollywood and give new twists and turns to create stories. The old flames are now grandfathers and grandmothers, why do you want to create problems in families for TRPs! Not to talk about the crores of Ads that further kill the joy of listening to the latest happenings. Gone are the days when Doordarshan used to have a simple reporter in traditional Indian attire, who used to give the News in a simple straightforward language. If reporting demise of some politician, a drop of voice was used or to give a happy news, it was related with a smile on the face. Aajtak totally relies on ""creating"" a story rather than going into the facts and ""covering"" the story in an apt way. I hate the way the reporters create stories of small thing that happens arpund an accident, death or wedding! Last Word: This News channel is not my cup of tea! Totally Not Recommending!"
Aajtak,Best news channel ever,3,"Aaj tak is the India leading news channel, It is watch by the every one.This channel leads the other news channel  how to the news represent to the audience. Aaj.Aaj tak is India number news channel last 10 years.Today aaj tak provides a mobile software so using this we can access the news by anywhere.They provides the news very fast and news based on the truth.this is a very interesting part of the news channel. The host of the aak tak very experienced and they expert to deliver the news very interesting manner.for earning the so much profits they show too much advertisement this irritate the people.Aaj tak provides complete news like business, sports, entertainment and some future news which might be useful for future."
Aajtak,Sabse Tezz...,2," Aaj Tak is a popular hindi news channel featuring news in India and around the Globe. There is also an app available on play store for android phone. Aaj Tak  is run by TV Today network features current affairs, sports, business, entertainment, bollywood, hollywood, etc. The app has a live TV where we can see the live proceeding of Aaj Tak on our mobile device. The app as well as news channel is TRP concerned, only political news and cricket news are shown with great interest. In the app we can read political and commercial blogs. *"
