Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
"RT @ShaanIrfan05: Indian Media Is Islamophobic

Paas It On.
#JusticeForGulnaz",17-11-2020 03:43,en,,0,92,,Mohd Shadab,#i_am_engineer,750,161,263,54,0,FALSE,,,@shadabmohd9045
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 03:43,en,,0,160,,Madhavi Divadkar,,61972,80883,172,463,88,FALSE,,,@MadhaviDivadkar
"While #IndianMedia is printing ""All you need to know about #RenuDevi Prasad"" ..

They won't say, She had 3 criminal  cases against her in 2015.. filed by @NitishKumar govt..
https://t.co/O2cTsrKsji

2 still exists..
https://t.co/hDFrTkp0RE
She bought a house in Howrah, WB.
🤣",17-11-2020 03:41,en,,0,0,,Shuvankar Mukherjee,If I can describe myself in fewer than 160 chars; then its probably best not to do it!,297254,52027,245,3891,239,FALSE,,,@shuvankr
"RT @INFANTRY28: In Paris Air Show, Indian Rafael made a record by flying upside down to 188 km on which the Indian media lifted sky &amp; chall…",17-11-2020 03:41,en,,0,13,,RaiNauman,A patriot Pakistani...  on twitter not for fight of words...but to learn about others... how they think about world....,47384,31244,1352,612,0,FALSE,,,@RaiNauman
"RT @whiteHatSnr: THREAD
1. Since Indian media is sold out to #Byjus and #WhiteHatJr let's expose this scam ourselves and also find out who…",17-11-2020 03:40,en,,0,446,,புஞ்சை குமாரசாமி,"Thennagaththu Jon Snow cos I know nothing. Naattaamai on most WhatsApp groups. Mostly shitposts, not to be fact checked. RT spam of funny and crazy stuff.",217827,17253,1564,3275,43,FALSE,,,@Ajumplakdibampa
RT @ivivek_nambiar: When will Indian media stop quoting the lies of politicians and making headlines and social media posts out of it witho…,17-11-2020 03:39,en,,0,2,,Syed Mohammed Yaseen,"Human Rights and Religious freedom Activist.

Instagram: https://t.co/HONOJIVZda
 
YouTube: https://t.co/bcBKKCSI7g",22217,9664,2114,193,1,FALSE,,,@SyedYaseen114
"RT @INFANTRY28: In Paris Air Show, Indian Rafael made a record by flying upside down to 188 km on which the Indian media lifted sky &amp; chall…",17-11-2020 03:39,en,,0,13,,محمد عمران بن محبوب,"Muslim, Pakistani !",15959,19012,1223,279,3,FALSE,,,@imranbinmehboob
"@DrIanHall Highly possible they did it. Also hints incapacity of their troops to achieve targets.
Now just wait and watch how the Indian media makes a grand tamasha out of this claim 🤣",17-11-2020 03:38,en,,0,0,@DrIanHall,malesnale,🤷🏽‍♂️🤷🏽‍♂️,1578,8484,47,16,0,FALSE,,,@malesnale
"@Roshan575002 @sangram_enm @RahulGandhi I have a different view, RG is the only leader giving a real fight to modi and bjp, obviously they are targeting him with the help of the biased north indian media, He is a honest person, unlike modi our country will benefit a lot due to him.",17-11-2020 03:38,en,,0,0,@Roshan575002,Skariah T Thomas ,,1847,2859,183,32,0,FALSE,,,@SkariahTT
RT @nilotpalm3: Since 150 days - SSR justice HT in top 10 - more than 50 times it was number one - more than 100 times it was in top 3 stil…,17-11-2020 03:37,en,,0,180,,Sanjay Akela,being strong enough to STAND alone. BHARAT MATA KI JAY. 🇮🇳🇮🇳💯🔥🔱💯,5004,11440,1209,251,1,FALSE,,,@Sanjays95532284
