Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
string,time,discrete,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous,continuous,continuous,continuous,discrete,continuous,continuous,discrete
meta title=True,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
@SaketGokhale But this news won't be fired in the Indian media it will be busy off as it's nothing happened 🙂,2020-10-26 06:08:35,en,,1.0,1.0,@SaketGokhale,Ashwini Mishra 🌈,You don't need a new day to start over. You only need a new mindset.Student | nature love 💝| INC supporter🇮🇳.,35112.0,67690.0,399.0,1476.0,4.0,False,,,@ash_missh
Very convenient... say anything against the state n then backtrack. He needs to go on Indian media to clarify his statement because they r having a field day. broadcasting it all over. Here in Pakistan he should be made accountable or this type of rubbish will continue https://t.co/YKOVOj15GA,2020-10-26 06:06:28,en,,0.0,0.0,,Dr Shireen Rafeeq,Physician with specialty in Public Health & Nutrition. Interest in almost everything under the sun,6554.0,16262.0,285.0,121.0,1.0,False,,,@Shireen_Rafeeq
"Journey of Indian Media - A Fast-Changing Reality https://t.co/6a8fUyUsyA 

Has true journalism died already?!

#TrabloggerReads for #MyFriendAlexa 
@blogchatter",2020-10-26 06:05:47,en,,0.0,0.0,,trablogger,Travel|Blogging|Photography|OccasionalWriting|First book Published. Order  #Kindle version from here https://t.co/R1fUPTFs91,2478.0,1290.0,3212.0,1852.0,46.0,False,,,@jiths
@johnkrasinski what great work from you... Especially as a media person and what a great line that 'Great news often come from tge least expected places'. This line needs to be understood and cherished by the Indian media merely running after TRP.,2020-10-26 06:00:06,en,,1.0,0.0,@_iamlumos_,Bhavik shah,Medico. Sports lover. Econut.,24.0,49.0,57.0,21.0,0.0,False,,,@_iamlumos_
"Here, we (Team FreelyFreaks) have released this new video on the ""Reality of Indian media"". In this video, we have discussed the untold truth about the Indian media. 

Please like, share and comment on our video❤
https://t.co/tOIjsU29vV

#faketrp #indianmedia #shameonindianmedia https://t.co/V6RjPceNaQ",2020-10-26 05:59:59,en,,0.0,0.0,,Nikhil KeDia (nik),"#Painting 🖌#CreativeHumanBeing💡💡
#CommerceStudent📚 #BooksReader 📓📓
#GFXandVideoEditor #Passionate #PhotograhyLover😍 #DreamToBcmBillionaire💰💰💰💰",95.0,96.0,279.0,94.0,0.0,False,,,@nikhilkedia97
"@ashoswai Arnab is the extreme model of indian media. Media houses are not criticizing @republic but envy it. If it goes on like this, soon we will have 5 channels giving competition yo @republic.",2020-10-26 05:55:18,en,,0.0,0.0,@ashoswai,AYDIAV,"हिंसक विवेकहीन अंधधार्मिक होने से बेहतर है नास्तिक होना, कभी भी।",2123.0,569.0,382.0,82.0,0.0,False,,,@AYDIAVV
@republic's contribution to Indian Media is the absolute reason why Aryabhatta had to give the number zero.,2020-10-26 05:50:57,en,,1.0,0.0,@republic,THE INDIAN SATIRES,"I know all those words, but that sentence makes no sense to me.",14.0,4773.0,74.0,11.0,0.0,False,,,@TheIndianSatire
"@hinaparvezbutt Indian Media Promote PDM Agenda 
Mulk Dushman Marrium Nawaz Shareef &amp; Nawaz Shareef and its B team PDM wants to create war Against Pakistan &amp; Pak Army https://t.co/x6QGgcgK0Q",2020-10-26 05:50:28,en,,0.0,0.0,@hinaparvezbutt,salman ahmed94,I am romantic person who loves romance and beauty,20521.0,49248.0,4990.0,1153.0,2.0,False,,,@Ahmed94Salman
"The Azaad Awaaz October 2020 issue is out.
Pdf link: https://t.co/VY5dsR3d9X.  Please do give it a read and share in your comments. #COVID19 #religion #religions #magazine #History #india #indianmedia #ReligiousFreedom @PaigamNetwork @AzaadAwaaz https://t.co/KhkRrWCwLW",2020-10-26 05:47:26,en,,0.0,1.0,,Azaad आवाज़,Amplifying Voices,44.0,33.0,57.0,15.0,0.0,False,,,@AzaadAwaaz
"#BTSOnNDTV
I am going mad and can't wait for the first ever direct interaction with  Indian media.
Purple army forever 💜",2020-10-26 05:45:30,en,,0.0,0.0,,Prathiksha,,10.0,1112.0,104.0,2.0,0.0,False,,,@Prathik39845113
"Anti state statements made by some speakers in Quetta public gathering, if seen in the backdrop of statements made by MNS / Iltaf Hussain and line of action taken by Modi regime /Indian media, gives rise to some sort of dangerous collusion which needs to be dealt strongly.",2020-10-26 05:44:48,en,,0.0,0.0,,Misbah Ur Rehman Kha,,163.0,39.0,11.0,10.0,0.0,False,,,@colkha
@BodkheShilpa Shame on Indian media,2020-10-26 05:25:44,en,,0.0,0.0,@BodkheShilpa,Kp,,10528.0,16257.0,909.0,150.0,0.0,False,,,@panwar_krishan
